id,week_of_outbreak,state_ut,district,disease,cases,deaths,day,month,year,latitude,longitude,precipitation,lai,temp,disease_category,death_rate,date,lag_1,lag_2,lag_3,lag_6,lag_12,roll_3_mean,roll_6_mean,roll_3_std,roll_6_std,month_sin,month_cos,temp_change,precipitation_change,lai_change,spike_ratio,acceleration,growth_rate,outbreak_flag,outbreak_frequency_12m,log_cases,outbreak
8210,25th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,7.0,3,18,6,2010,13.1601048,79.15555062,0.218201282,12.0,304.84,Diarrheal Diseases,0.375,2010-06-01,18.0,44.0,37.0,0.0,0.0,33.0,0.0,13.45362404707371,0.0,1.2246467991473532e-16,-1.0,-3.4173333000000525,-0.38580795199999995,1.0,0.20588235294117646,-26.0,-0.5,0,0.0,2.0794415416798357,0
8364,32nd week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,9.0,1,28,7,2010,13.1601048,79.15555062,0.026553189,11.5,301.38,Diarrheal Diseases,0.1,2010-07-01,7.0,18.0,44.0,14.0,0.0,23.0,25.0,19.0,14.310835055998654,-0.4999999999999997,-0.8660254037844388,-3.4599999999999795,-0.191648093,-0.5,0.375,-11.0,-0.8222222222222222,0,0.0,2.302585092994046,0
8593,47th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,12.0,1,13,11,2010,13.1601048,79.15555062,0.98322046,13.0,298.865,Diarrheal Diseases,0.07692307692307693,2010-11-01,9.0,7.0,18.0,30.0,0.0,11.333333333333334,24.166666666666668,5.8594652770823155,15.197587527850157,-0.5000000000000004,0.8660254037844384,-2.5149999999999864,0.9566672709999999,1.5,0.9729729729729729,2.0,-0.47368421052631576,0,0.0,2.5649493574615367,0
8630,50th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,12.0,1,15,11,2010,13.1601048,79.15555062,0.303462632,13.0,299.42,Diarrheal Diseases,0.07692307692307693,2010-11-01,12.0,9.0,7.0,37.0,0.0,9.333333333333334,21.166666666666668,2.5166114784235845,15.587388064286673,-0.5000000000000004,0.8660254037844384,0.5550000000000068,-0.679757828,0.0,1.161290322580645,3.0,0.625,0,0.0,2.5649493574615367,0
8231,26th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,51.0,1,25,6,2011,13.1601048,79.15555062,0.026590072,12.0,307.488,Diarrheal Diseases,0.019230769230769232,2011-06-01,12.0,12.0,9.0,44.0,0.0,11.0,17.0,1.7320508075688787,13.740451229854132,1.2246467991473532e-16,-1.0,8.067999999999984,-0.27687256,-1.0,4.25,0.0,0.3,0,0.0,3.9512437185814275,0
7841,44th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,45.0,0,3,11,2011,13.1601048,79.15555062,0.72651644,17.0,299.42,Diarrheal Diseases,0.0,2011-11-01,51.0,12.0,12.0,18.0,0.0,25.0,18.166666666666668,22.516660498395403,16.5095931708406,-0.5000000000000004,0.8660254037844384,-8.067999999999984,0.6999263680000001,5.0,1.7307692307692308,39.0,3.0,0,0.0,3.828641396489095,0
7906,47th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,43.0,0,25,11,2011,13.1601048,79.15555062,0.038731074,14.0,299.9,Diarrheal Diseases,0.0,2011-11-01,45.0,51.0,12.0,7.0,0.0,36.0,22.666666666666668,21.0,19.80572307861207,-0.5000000000000004,0.8660254037844384,0.47999999999996135,-0.6877853660000001,-3.0,1.162162162162162,-6.0,2.5384615384615383,0,0.0,3.784189633918261,0
6499,24th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,21.0,1,9,6,2012,13.1601048,79.15555062,0.084532407,12.0,311.296,Diarrheal Diseases,0.045454545454545456,2012-06-01,43.0,45.0,51.0,9.0,14.0,46.333333333333336,28.666666666666668,4.163331998932266,19.561867668161614,1.2246467991473532e-16,-1.0,11.396000000000015,0.04580133300000001,-2.0,0.4436619718309859,-2.0,-0.15384615384615385,0,0.0,3.091042453358316,0
6553,26th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,24.0,1,27,6,2012,13.1601048,79.15555062,0.125116216,11.0,309.0266666,Diarrheal Diseases,0.04,2012-06-01,21.0,43.0,45.0,12.0,30.0,36.333333333333336,30.666666666666668,13.316656236958787,17.67106863397533,1.2246467991473532e-16,-1.0,-2.2693333999999936,0.040583809,-1.0,0.6428571428571428,-22.0,-0.5217391304347826,0,0.0,3.2188758248682006,0
6827,37th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,70.0,1,10,9,2012,13.1601048,79.15555062,0.157717786,10.0,304.78,Diarrheal Diseases,0.014084507042253521,2012-09-01,24.0,21.0,43.0,12.0,37.0,29.333333333333332,32.666666666666664,11.930353445448855,15.70562531918633,-1.0,-1.8369701987210297e-16,-4.246666600000026,0.032601569999999996,-1.0,2.307692307692308,3.0,-0.4318181818181818,1,0.0,4.2626798770413155,1
5307,8th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,29.0,1,31,1,2013,13.1601048,79.15555062,0.000633664,9.0,303.3566666,Diarrheal Diseases,0.03333333333333333,2013-01-01,70.0,24.0,21.0,51.0,44.0,38.333333333333336,42.333333333333336,27.465129406819354,18.107088851239087,0.49999999999999994,0.8660254037844387,-1.42333339999999,-0.157084122,-1.0,0.7372881355932203,46.0,2.227272727272727,0,1.0,3.4011973816621555,0
5299,7th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,82.0,1,11,2,2013,13.1601048,79.15555062,0.005553353,8.0,304.9666666,Diarrheal Diseases,0.012048192771084338,2013-02-01,29.0,70.0,24.0,45.0,18.0,41.0,38.666666666666664,25.23885892824792,18.228183306810003,0.8660254037844386,0.5000000000000001,1.6100000000000136,0.004919689,-1.0,1.9523809523809523,-41.0,0.2,1,1.0,4.418840607796598,1
5335,12th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,21.0,1,21,3,2013,13.1601048,79.15555062,0.000920318,9.0,307.88,Diarrheal Diseases,0.045454545454545456,2013-03-01,82.0,29.0,70.0,43.0,7.0,60.333333333333336,44.833333333333336,27.790885796126275,25.576682088704683,1.0,6.123233995736766e-17,2.913333399999999,-0.004633035,1.0,0.34239130434782605,53.0,0.16901408450704225,0,2.0,3.091042453358316,0
5370,16th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,16.0,1,20,4,2013,13.1601048,79.15555062,0.007145039,8.0,313.072,Diarrheal Diseases,0.058823529411764705,2013-04-01,21.0,82.0,29.0,21.0,9.0,44.0,41.166666666666664,33.15116890850155,27.403771030036484,0.8660254037844387,-0.4999999999999998,5.192000000000007,0.006224721,-1.0,0.35555555555555557,-61.0,-0.26666666666666666,0,2.0,2.833213344056216,0
5401,18th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,44.0,1,3,5,2013,13.1601048,79.15555062,0.002548878,7.0,311.956,Diarrheal Diseases,0.022222222222222223,2013-05-01,16.0,21.0,82.0,24.0,12.0,39.666666666666664,40.333333333333336,36.74688195389281,28.20401862619345,0.49999999999999994,-0.8660254037844387,-1.1159999999999854,-0.004596161,-1.0,1.0819672131147542,-5.0,-0.7951807228915663,0,2.0,3.8066624897703196,0
6147,47th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,15.0,1,22,11,2013,13.1601048,79.15555062,0.294202793,15.0,300.62,Diarrheal Diseases,0.0625,2013-11-01,44.0,16.0,21.0,70.0,12.0,27.0,43.666666666666664,14.933184523068071,27.04564043735454,-0.5000000000000004,0.8660254037844384,-11.336000000000013,0.29165391500000004,8.0,0.5357142857142857,28.0,1.0454545454545454,0,2.0,2.772588722239781,0
4773,25th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,19.0,1,16,6,2014,13.1601048,79.15555062,0.103473636,13.0,309.17,Diarrheal Diseases,0.05,2014-06-01,15.0,44.0,16.0,29.0,51.0,25.0,34.5,16.462077633154323,25.618352796384087,1.2246467991473532e-16,-1.0,8.550000000000011,-0.19072915700000004,-2.0,0.7307692307692307,-29.0,-0.058823529411764705,0,2.0,2.995732273553991,0
4905,31st week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,14.0,1,26,7,2014,13.1601048,79.15555062,0.037131511,8.0,304.98,Diarrheal Diseases,0.06666666666666667,2014-07-01,19.0,15.0,44.0,82.0,45.0,26.0,32.833333333333336,15.716233645501704,26.36222044264608,-0.4999999999999997,-0.8660254037844388,-4.189999999999998,-0.066342125,-5.0,0.5185185185185185,4.0,-0.5555555555555556,0,2.0,2.70805020110221,0
5231,49th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,22.0,2,29,11,2014,13.1601048,79.15555062,0.001506591,14.0,297.495,Diarrheal Diseases,0.08695652173913043,2014-11-01,14.0,19.0,15.0,21.0,43.0,16.0,21.5,2.6457513110645476,11.326958991715312,-0.5000000000000004,0.8660254037844384,-7.485000000000014,-0.03562492,6.0,1.2941176470588236,-5.0,-0.0625,0,2.0,3.1354942159291497,0
