id,week_of_outbreak,state_ut,district,disease,cases,deaths,day,month,year,latitude,longitude,precipitation,lai,temp,disease_category,death_rate
2859,20th week,Odisha,Angul,Acute Diarrhoeal Disease,17.0,1,16,5,2016,20.8382426,85.0973949,0.072350807,13.0,311.476,Diarrheal Diseases,0.05555555555555555
2860,20th week,Punjab,Kapurthala,Acute Diarrhoeal Disease,14.0,0,21,5,2016,31.38524095,75.30552274,0.028896299,4.0,316.9033334,Diarrheal Diseases,0.0
2861,20th week,Rajasthan,Dholpur,Acute Diarrhoeal Disease,26.0,4,17,5,2016,26.7010642,77.896749,0.034679144,3.0,316.7,Diarrheal Diseases,0.14814814814814814
2862,20th week,Rajasthan,Pratapgarh,Acute Diarrhoeal Disease,122.0,2,19,5,2016,24.0333495,74.7801315,5.74e-05,5.0,322.6566666,Diarrheal Diseases,0.016260162601626018
2863,20th week,West Bengal,Malda,Cholera,101.0,1,14,5,2016,25.0057449,88.1398483,0.38485663,8.0,307.488,Diarrheal Diseases,0.00980392156862745
2864,20th week,Chhattisgarh,Surajpur,Acute Diarrhoeal Disease,239.0,1,2,5,2016,23.35151515,82.97290273,0.003698723,11.0,315.78,Diarrheal Diseases,0.004166666666666667
2865,20th week,Kerala,Alappuzha,Dengue,10.0,1,16,4,2016,9.5006651,76.41241429,0.161452783,25.0,302.692,Dengue,0.09090909090909091
2866,20th week,Kerala,Ernakulam,Dengue,9.0,0,15,4,2016,9.98408,76.2741457,0.157974802,25.0,302.46,Dengue,0.0
2867,20th week,Kerala,Kollam,Dengue,11.0,2,6,5,2016,8.8879509,76.5955013,0.151112049,20.0,304.11,Dengue,0.16666666666666666
2868,20th week,Kerala,Kozhikode,Dengue,22.0,0,20,4,2016,11.2450558,75.7754716,0.058145921,9.0,303.3241667,Dengue,0.0
2869,20th week,Maharashtra,Nashik,Dengue,4.0,1,10,5,2016,20.0112475,73.7902364,0.092637805,6.0,318.7666666,Dengue,0.2
2870,20th week,Uttar Pradesh,Kannauj,Acute Diarrhoeal Disease,28.0,2,7,5,2016,26.9996974,79.68861213,0.039455904,4.0,312.7666666,Diarrheal Diseases,0.06896551724137931
2871,20th week,Uttar Pradesh,Kaushambi,Acute Diarrhoeal Disease,71.0,2,2,5,2016,25.53609455,81.44672839,0.006137379,4.0,316.3,Diarrheal Diseases,0.027777777777777776
2872,20th week,West Bengal,Bankura,Cholera,122.0,0,2,5,2016,23.13195425,87.2073972,0.080360368,6.0,315.344,Diarrheal Diseases,0.0
2873,20th week,West Bengal,Bankura,Acute Diarrhoeal Disease,66.0,0,9,5,2016,23.13195425,87.2073972,0.303521154,7.0,312.196,Diarrheal Diseases,0.0
2874,20th week,West Bengal,South 24 Parganas,Acute Diarrhoeal Disease,61.0,0,5,5,2016,22.5760669,88.42006758,0.227077665,11.0,307.092,Diarrheal Diseases,0.0
2875,21st week,Andhra Pradesh,Visakhapatnam,Acute Diarrhoeal Disease,15.0,0,23,5,2016,17.7222517,83.32670984,1.904415471,9.0,307.67,Diarrheal Diseases,0.0
2876,21st week,Andhra Pradesh,Nellore,Acute Diarrhoeal Disease,16.0,1,27,5,2016,13.4923257,79.202539,0.002134174,10.0,307.7366666,Diarrheal Diseases,0.058823529411764705
2877,21st week,Bihar,Muzaffarpur,Acute Encephalitis Syndrome,5.0,1,21,5,2016,26.1486581,85.34001282,0.171221761,6.0,308.6,Encephalitis,0.16666666666666666
2878,21st week,Chhattisgarh,Bemetara,Acute Diarrhoeal Disease,165.0,1,21,5,2016,21.6783969,81.43047623,0.029927963,4.0,315.644,Diarrheal Diseases,0.006024096385542169
2879,21st week,Gujarat,Jamnagar,Cholera,47.0,0,22,5,2016,22.4732415,70.0552102,0.000319153,2.0,321.492,Diarrheal Diseases,0.0
2880,21st week,Madhya Pradesh,Indore,Cholera,3.0,0,20,5,2016,22.7665444,75.9006944,4.37e-05,2.0,322.2133334,Diarrheal Diseases,0.0
2881,21st week,Maharashtra,Aurangabad,Acute Diarrhoeal Disease,60.0,1,23,5,2016,19.877263,75.3390241,0.000321615,9.0,320.784,Diarrheal Diseases,0.01639344262295082
2882,21st week,Maharashtra,Akola,Cholera,21.0,1,23,5,2016,20.76181225,77.19211567,0.002685901,2.0,325.244,Diarrheal Diseases,0.045454545454545456
2883,21st week,Maharashtra,Amravati,Cholera,62.0,1,21,5,2016,20.9521098,77.7333168,0.013092719,2.0,324.8766666,Diarrheal Diseases,0.015873015873015872
2884,21st week,Maharashtra,Jalna,Acute Diarrhoeal Disease,47.0,1,21,5,2016,19.91883295,75.87085986,0.000449561,2.0,321.3366666,Diarrheal Diseases,0.020833333333333332
2885,21st week,Maharashtra,Nagpur,Acute Diarrhoeal Disease,194.0,1,25,5,2016,21.1498134,79.0820556,0.002984118,4.0,319.585,Diarrheal Diseases,0.005128205128205128
2886,21st week,Maharashtra,Nashik,Acute Diarrhoeal Disease,409.0,0,25,5,2016,20.0112475,73.7902364,0.02762494,5.0,310.56,Diarrheal Diseases,0.0
2887,21st week,Odisha,Koraput,Acute Diarrhoeal Disease,30.0,1,23,5,2016,18.7232023,82.60811828,0.673065351,15.0,304.5733334,Diarrheal Diseases,0.03225806451612903
2888,21st week,Punjab,Amritsar,Acute Diarrhoeal Disease,43.0,1,29,5,2016,31.6343083,74.8736788,0.103461031,4.0,310.492,Diarrheal Diseases,0.022727272727272728
2889,21st week,Rajasthan,Dungarpur,Acute Diarrhoeal Disease,11.0,1,24,5,2016,23.666667,73.75,0.000279612,4.0,317.952,Diarrheal Diseases,0.08333333333333333
2890,21st week,Rajasthan,Hanumangarh,Acute Diarrhoeal Disease,52.0,0,29,5,2016,29.5760254,74.3342203,0.043841881,2.0,310.18,Diarrheal Diseases,0.0
2891,21st week,Rajasthan,Jhalawar,Acute Diarrhoeal Disease,30.0,1,26,5,2016,24.31255575,76.52279955,0.003241129,3.0,319.808,Diarrheal Diseases,0.03225806451612903
