id,week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,month,year,Latitude,Longitude,precipitation,LAI,Temp,Disease_Category
2256,29th week,Chhattisgarh,Rajnandgaon,Acute Diarrhoeal Disease,89,1,29,6,2017,20.9727404,80.69155548,1.019548938,4.0,311.32,Diarrheal Diseases
2257,29th week,Karnataka,Chikkaballapura,Dengue,21,1,8,7,2017,13.4358702,77.7312434,0.129787066,6.0,304.36,Dengue
2258,29th week,Maharashtra,Latur,Acute Diarrhoeal Disease,17,1,3,7,2017,18.35159075,76.75542361,0.282408434,6.0,309.4,Diarrheal Diseases
2259,29th week,Maharashtra,Osmanabad,Cholera,3,1,11,7,2017,18.16984395,76.11796321,0.108867075,3.5,309.7466666,Diarrheal Diseases
2260,29th week,Maharashtra,Thane,Dengue,56,1,2,5,2017,19.1943294,72.9701779,0.001320361,7.0,318.0833334,Dengue
2261,29th week,Maharashtra,Thane,Dengue,89,1,29,4,2017,19.1943294,72.9701779,0.002979762,7.0,318.384,Dengue
2262,29th week,Maharashtra,Thane,Malaria,15,1,6,6,2017,19.1943294,72.9701779,0.360388253,6.0,309.664,Malaria
2263,29th week,Maharashtra,Thane,Malaria,26,1,11,2,2017,19.1943294,72.9701779,3.37e-05,7.0,306.53,Malaria
2264,29th week,Maharashtra,Thane,Dengue,86,1,3,1,2017,19.1943294,72.9701779,7.53e-05,10.0,304.9466666,Dengue
2265,29th week,West Bengal,Jalpaiguri,Malaria,533,1,23,5,2017,26.4733048,88.67886686,0.356881947,27.0,300.256,Malaria
2266,30th week,Assam,Nagaon,Dengue,82,2,29,7,2017,26.30414915,92.71605974,1.071144848,15.0,301.68,Dengue
2267,30th week,Bihar,Arwal,Acute Diarrhoeal Disease,19,1,22,7,2017,25.18077715,84.65920203,0.704321805,3.0,307.1866666,Diarrheal Diseases
2268,30th week,Chhattisgarh,Balod,Acute Diarrhoeal Disease,72,1,23,7,2017,20.73218365,81.14335738,3.372722278,4.0,298.86,Diarrheal Diseases
2269,30th week,Chhattisgarh,Janjgir,Acute Diarrhoeal Disease,15,0,25,7,2017,22.0090841,82.578896,2.555522357,2.0,301.62,Diarrheal Diseases
2270,30th week,Chhattisgarh,Mahasamund,Acute Diarrhoeal Disease,44,1,23,7,2017,21.1882332,82.48484762,0.937693373,4.0,302.1266667,Diarrheal Diseases
2271,30th week,Gujarat,Navsari,Cholera,47,0,27,7,2017,20.952407,72.9323831,1.214032591,3.0,301.34,Diarrheal Diseases
2272,30th week,Gujarat,Valsad,Acute Diarrhoeal Disease,13,0,26,7,2017,20.43219565,73.1409893,3.237218046,1.0,303.3241667,Diarrheal Diseases
2273,30th week,Haryana,Gurgaon,Cholera,40,0,25,7,2017,28.42826235,77.00270015,0.327365322,8.0,304.0866666,Diarrheal Diseases
2274,30th week,Jharkhand,West Singhbhum,Acute Diarrhoeal Disease,9,0,24,7,2017,22.7859232,86.1716093,1.572192569,2.0,301.88,Diarrheal Diseases
2275,30th week,Jammu and Kashmir,Anantnag,Acute Diarrhoeal Disease,13,0,21,7,2017,33.7368773,75.1455138,0.696382652,20.0,292.63,Diarrheal Diseases
